hotspot_number,lsg_code,label,label_malayalam,locality,district,type,status,listed_on,unlisted_on,last_updated_on,notes,reference,latitude,longitude
12,G060302,Senapathi,സേനാപതി,Senapathi,Idukki,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Ward 3,DHS bulletin from Listed On Date,,
63,G101004,Thennala,തെന്നല,Thennala,Malappuram,Panchayat,Unlisted,2020-04-22,2020-04-30,2020-04-30,,DHS bulletin from Listed On Date,,
14,G130607,Peralassery,പെരളശ്ശേരി,Peralassery,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
15,M130300,Koothuparambu,കൂത്തുപറമ്പ്,Koothuparambu,Kannur,Municipality,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
16,G130906,Kottayam,കോട്ടയം,Kottayam,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
17,G130903,Kunnothuparamba,കുന്നാത്തുപറമ്പ്,Kunnothuparamba,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
18,G130306,Naduvil,നടുവില്‍,Naduvil,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
19,G130805,Mokeri,മൊകേരി,Mokeri,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
20,G130806,Panniyannur,പന്ന്യന്നൂര്‍,Panniyannur,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
21,M130700,Panoor,പാനൂര്‍,Panoor,Kannur,Municipality,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
22,G130203,Madayi,മാടായി,Madayi,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
23,G131101,Kanichar,കണിച്ചാര്‍,Kanichar,Kannur,Panchayat,Unlisted,2020-04-23,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
24,G130506,Pappinisseri,പാപ്പിനിശ്ശേരി,Pappinisseri,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
25,M130400,Payyannur,പയ്യന്നൂര്‍,Payyannur,Kannur,Municipality,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
26,G130204,Mattool,മാട്ടൂല്‍,Mattool,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
27,G130705,Muzhappilangad,മുഴപ്പിലങ്ങാട്,Muzhappilangad,Kannur,Panchayat,Unlisted,2020-04-22,2020-05-07,2020-05-06,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
