hotspot_number,lsg_code,label,label_malayalam,locality,district,type,status,listed_on,unlisted_on,last_updated_on,notes,reference,latitude,longitude
143,G090402,Kadambazhippuram,കടമ്പഴിപ്പുറം,Kadambazhippuram,Palakkad,Panchayat,Active,2020-05-18,,2020-05-19,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
144,G090203,Muthuthala,മുതുതല,Muthuthala,Palakkad,Panchayat,Active,2020-05-18,,2020-05-19,No containment zone,DHS bulletin from Listed On Date,,
145,G090407,Karakkurissi,കാരാകുറുശ്ശി,Karakkurissi,Palakkad,Panchayat,Active,2020-05-18,,2020-05-19,"Containment Zone: Ward 6, 7",DHS bulletin from Listed On Date,,
146,G090801,Kottayi,കോട്ടായി,Kottayi,Palakkad,Panchayat,Active,2020-05-18,,2020-05-19,"Containment Zone: Ward 4, 9",DHS bulletin from Listed On Date,,
147,G091003,Muthalamada,മുതലമട,Muthalamada,Palakkad,Panchayat,Active,2020-05-18,,2020-05-19,No containment zone,DHS bulletin from Listed On Date,,
148,M130700,Panoor,പാനൂര്‍,Panoor,Kannur,Municipality,Active,2020-05-19,,2020-05-19,"Containment Zone: Ward 1, 31, 32",DHS bulletin from Listed On Date,,
149,G130802,Chokli,ചൊക്ളി,Chokli,Kannur,Panchayat,Active,2020-05-19,,2020-05-19,"Containment Zone: Ward 2, 7, 8, 9",DHS bulletin from Listed On Date,,
150,G130406,Mayyil,മയ്യില്‍,Mayyil,Kannur,Panchayat,Active,2020-05-19,,2020-05-19,Containment Zone: Ward 1,DHS bulletin from Listed On Date,,
151,G051107,Koruthodu,കോരുത്തോട്,Koruthodu,Kottayam,Panchayat,Unlisted,2020-05-19,2020-05-21,2020-05-21,Containment Zone: Ward 2,DHS bulletin from Listed On Date,,
152,G090306,Thrikkadeeri,തൃക്കടീരി,Thrikkadeeri,Palakkad,Panchayat,Active,2020-05-21,,2020-05-21,"Containment Zone: Wards 4,5,10",DHS bulletin from Listed On Date,,
153,G090405,Sreekrishnapuram,ശ്രീകൃഷ്ണപുരം,Sreekrishnapuram,Palakkad,Panchayat,Active,2020-05-21,,2020-05-21,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
154,G130701,Dharmadom,ധര്‍മ്മടം,Dharmadom,Kannur,Panchayat,Active,2020-05-21,,2020-05-21,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
155,G090104,Nagalassery,നാഗലശ്ശേരി,Nagalassery,Palakkad,Panchayat,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 15,DHS bulletin from Listed On Date,,
156,G130501,Chirakkal,ചിറക്കല്‍,Chirakkal,Kannur,Panchayat,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 2,DHS bulletin from Listed On Date,,
157,G131106,Malur,മാലൂര്‍,Malur,Kannur,Panchayat,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 9,DHS bulletin from Listed On Date,,
158,C130100,Kannur,കണ്ണൂര്‍,Kannur,Kannur,Corporation,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 53,DHS bulletin from Listed On Date,,
159,M130400,Payyannur,പയ്യന്നൂര്‍,Payyannur,Kannur,Municipality,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 13,DHS bulletin from Listed On Date,,
160,G130605,Chembilode,ചെമ്പിലോട്,Chembilode,Kannur,Panchayat,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 1,DHS bulletin from Listed On Date,,
161,G131002,Ayyankunnu,അയ്യന്‍കുന്ന്,Ayyankunnu,Kannur,Panchayat,Active,2020-05-23,,2020-05-23,"Containment Zone: Wards 7, 8, 9, 10, 11",DHS bulletin from Listed On Date,,
162,G130906,Kottayam,കോട്ടയം,Kottayam,Kannur,Panchayat,Active,2020-05-23,,2020-05-23,"Containment Zone: Wards 2, 9, 12, 14",DHS bulletin from Listed On Date,,
163,G051107,Koruthodu,കോരുത്തോട്,Koruthodu,Kottayam,Panchayat,Active,2020-05-23,,2020-05-23,Containment Zone: Ward 2,DHS bulletin from Listed On Date,,
164,G140502,Kodom-Bellur,കോടോം ബേളൂര്‍,Kodom-Bellur,Kasaragod,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 14,DHS bulletin from Listed On Date,,
165,G090301,Ambalappara,അമ്പലപ്പാറ,Ambalappara,Palakkad,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
166,G090406,Vellinezhi,വെള്ളിനേഴി,Vellinezhi,Palakkad,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 4,DHS bulletin from Listed On Date,,
167,M090100,Ottappalam,ഒറ്റപ്പാലം,Ottappalam,Palakkad,Municipality,Active,2020-05-24,,2020-05-24,"Containment Zone: Wards 1,4,6, 36, 7, 29",DHS bulletin from Listed On Date,,
168,G090307,Vallapuzha,വല്ലപ്പുഴ,Vallapuzha,Palakkad,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 11,DHS bulletin from Listed On Date,,
169,G090904,Perumatty,പെരുമാട്ടി,Perumatty,Palakkad,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 14,DHS bulletin from Listed On Date,,
170,G090705,Mundur,മുണ്ടൂര്‍,Mundur,Palakkad,Panchayat,Active,2020-05-24,,2020-05-24,"Containment Zone: Wards 16,18",DHS bulletin from Listed On Date,,
171,G051004,Vellavoor,വെള്ളാവൂര്‍,Vellavoor,Kottayam,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 1,DHS bulletin from Listed On Date,,
172,G050706,Meenadom,മീനടം,Meenadom,Kottayam,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 13,DHS bulletin from Listed On Date,,
173,G040807,Pandanadu,പാണ്ടനാട്,Pandanadu,Alappuzha,Panchayat,Active,2020-05-24,,2020-05-24,"Containment Zone: Wards 1,5",DHS bulletin from Listed On Date,,
174,M040100,Chengannur,ചെങ്ങന്നൂര്‍,Chengannur,Alappuzha,Municipality,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 3,DHS bulletin from Listed On Date,,
175,G110101,Azhiyur,അഴിയൂര്‍,Azhiyur,Kozhikode,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 13,DHS bulletin from Listed On Date,,
176,G110104,Onchiyam,ഒഞ്ചിയം,Onchiyam,Kozhikode,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 14,DHS bulletin from Listed On Date,,
177,G131005,Koodali,കൂടാളി,Koodali,Kannur,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 15,DHS bulletin from Listed On Date,,
178,G131101,Kanichar,കണിച്ചാര്‍,Kanichar,Kannur,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 12,DHS bulletin from Listed On Date,,
179,G130607,Peralassery,പെരളശ്ശേരി,Peralassery,Kannur,Panchayat,Active,2020-05-24,,2020-05-24,Containment Zone: Ward 5,DHS bulletin from Listed On Date,,
180,G130806,Panniyannur,പന്ന്യന്നൂര്‍,Panniyannur,Kannur,Panchayat,Active,2020-05-24,,2020-05-24,"Containment Zone: Wards 6, 10",DHS bulletin from Listed On Date,,
181,G130703,Pinarayi,പിണറായി,Pinarayi,Kannur,Panchayat,Active,2020-05-25,,2020-05-25,Containment Zone: Ward 8,DHS bulletin from Listed On Date,,
182,G091305,Puthussery,പുതുശ്ശേരി,Puthussery,Palakkad,Panchayat,Active,2020-05-25,,2020-05-25,"Containment Zone: Ward 5, 14, 21",DHS bulletin from Listed On Date,,
183,G091302,Malampuzha,മലമ്പുഴ,Malampuzha,Palakkad,Panchayat,Active,2020-05-25,,2020-05-25,Containment Zone: Ward 4,DHS bulletin from Listed On Date,,
184,G090102,Chalisseri,ചാലിശ്ശേരി,Chalisseri,Palakkad,Panchayat,Active,2020-05-25,,2020-05-25,Containment Zone: Ward 15,DHS bulletin from Listed On Date,,
185,G130107,Cherupuzha,ചെറുപുഴ,Cherupuzha,Kannur,Panchayat,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 3, 14, 19",DHS bulletin from Listed On Date,,
186,G130205,Cherukunnu,ചെറുകുന്ന്,Cherukunnu,Kannur,Panchayat,Active,2020-05-26,,2020-05-26,Containment Zone: Ward 1,DHS bulletin from Listed On Date,,
187,G140102,Vorkady,വോര്‍ക്കാടി,Vorkady,Kasaragod,Panchayat,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 1,2",DHS bulletin from Listed On Date,,
188,G140104,Meenja,മീഞ്ച,Meenja,Kasaragod,Panchayat,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 2, 7",DHS bulletin from Listed On Date,,
189,G140101,Mangalpady,മംഗല്‍പാടി,Mangalpady,Kasaragod,Panchayat,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 2, 6. 9, 11, 20",DHS bulletin from Listed On Date,,
190,G050902,Payippadu,പായിപ്പാട്,Payippadu,Kottayam,Panchayat,Active,2020-05-26,,2020-05-26,Containment Zone: Ward 12,DHS bulletin from Listed On Date,,
191,M090600,Cherplassery,ചെര്‍പുളശ്ശേരി,Cherplassery,Palakkad,Municipality,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 5, 26",DHS bulletin from Listed On Date,,
192,M090700,Mannarkkad,മണ്ണാര്‍ക്കാട്,Mannarkkad,Palakkad,Municipality,Active,2020-05-26,,2020-05-26,Containment Zone: Ward 10,DHS bulletin from Listed On Date,,
193,G060306,Udumbanchola,ഉടുമ്പന്‍ചോല,Udumbanchola,Idukki,Panchayat,Active,2020-05-26,,2020-05-26,"Containment Zone: Wards 8,11,12",DHS bulletin from Listed On Date,,
194,M090300,Chittoor-Thathamangalam,ചിറ്റൂര്‍ തത്തമംഗലം,Chittoor-Thathamangalam,Palakkad,Municipality,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 20,DHS bulletin from Listed On Date,,
195,G090907,Polppully,പൊല്‍പ്പുള്ളി,Polppully,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 7,DHS bulletin from Listed On Date,,
196,G090308,Nellaya,നെല്ലായ,Nellaya,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 14,DHS bulletin from Listed On Date,,
197,G090105,Pattithara,പട്ടിത്തറ,Pattithara,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 9,DHS bulletin from Listed On Date,,
198,M090200,Shornur,ഷൊര്‍ണ്ണൂര്‍,Shornur,Palakkad,Municipality,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 10,DHS bulletin from Listed On Date,,
199,G090206,Paruthur,പരുതൂര്‍,Paruthur,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 9,DHS bulletin from Listed On Date,,
200,G090803,Kuzhalmannam,കുഴല്‍മന്ദം,Kuzhalmannam,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 13,DHS bulletin from Listed On Date,,
201,G090208,Vilayur,വിളയൂര്‍,Vilayur,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 13,DHS bulletin from Listed On Date,,
202,G090805,Perungottukurissi,പെരിങ്ങോട്ടുകുറിശ്ശി,Perungottukurissi,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 12,DHS bulletin from Listed On Date,,
203,G091206,Tharur,തരൂര്‍,Tharur,Palakkad,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: Ward 9,DHS bulletin from Listed On Date,,
204,G011103,Kulathoor,കുളത്തൂര്‍,Kulathoor,Thiruvananthapuram,Panchayat,Active,2020-05-27,,2020-05-27,"Containment Zone: Wards 9, 10, 11, 12, 13, 14",DHS bulletin from Listed On Date,,
205,G010207,Navaikulam,നാവായിക്കുളം,Navaikulam,Thiruvananthapuram,Panchayat,Active,2020-05-27,,2020-05-27,"Containment Zone: Wards 3, 4, 13",DHS bulletin from Listed On Date,,
206,G010402,Nellanad,നെല്ലനാട്,Nellanad,Thiruvananthapuram,Panchayat,Active,2020-05-27,,2020-05-27,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
207,G140303,Madhur,മധൂര്‍,Madhur,Kasaragod,Panchayat,Active,2020-05-28,,2020-05-28,"Containment Zone: Wards 1, 7, 25, 28",DHS bulletin from Listed On Date,,
208,G140401,Uduma,ഉദുമ,Uduma,Kasaragod,Panchayat,Active,2020-05-28,,2020-05-28,Containment Zone: Ward 9,DHS bulletin from Listed On Date,,
209,G140105,Manjeswaram,മഞ്ചശ്വരം,Manjeswaram,Kasaragod,Panchayat,Active,2020-05-28,,2020-05-28,Containment Zone: Ward 11,DHS bulletin from Listed On Date,,
210,M050300,Changanassery,ചങ്ങനാശ്ശേരി,Changanassery,Kottayam,Municipality,Active,2020-05-28,,2020-05-28,"Containment Zone: Wards 1, 21",DHS bulletin from Listed On Date,,
211,G010403,Pullampara,പുല്ലമ്പാറ,Pullampara,Thiruvananthapuram,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
212,G010208,Pulimath,പുളിമാത്ത്,Pulimath,Thiruvananthapuram,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
213,G011102,Karode,കാരോട്,Karode,Thiruvananthapuram,Panchayat,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 14, 15",DHS bulletin from Listed On Date,,
214,G010305,Mudakkal,മുദാക്കല്‍,Mudakkal,Thiruvananthapuram,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
215,G010404,Vamanapuram,വാമനപുരം,Vamanapuram,Thiruvananthapuram,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
216,G110204,Thuneri,തൂണേരി,Thuneri,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
217,G110203,Purameri,പുറമേരി,Purameri,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
218,G110207,Nadapuram,നാദാപുരം,Nadapuram,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
219,G110301,Kunnummal,കുന്നുമ്മല്‍,Kunnummal,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
220,G110304,Kuttyadi,കുറ്റ്യാടി,Kuttyadi,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
221,G110205,Valayam,വളയം,Valayam,Kozhikode,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: All wards,DHS bulletin from Listed On Date,,
222,M110100,Vadakara,വടകര,Vadakara,Kozhikode,Municipality,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 40, 45, 46",DHS bulletin from Listed On Date,,
223,G130207,Kannapuram,കണ്ണപുരം,Kannapuram,Kannur,Panchayat,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 1, 14",DHS bulletin from Listed On Date,,
224,G130606,Munderi,മുണ്ടേരി,Munderi,Kannur,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: Ward 15,DHS bulletin from Listed On Date,,
225,G130705,Muzhappilangad,മുഴപ്പിലങ്ങാട്,Muzhappilangad,Kannur,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zone: All Wards,DHS bulletin from Listed On Date,,
226,G140306,Kumbala,കുമ്പള,Kumbala,Kasaragod,Panchayat,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 2, 13",DHS bulletin from Listed On Date,,
227,G090201,Koppam,കൊപ്പം,Koppam,Palakkad,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: Ward 8,DHS bulletin from Listed On Date,,
228,G090305,Vaniyamkulam,വാണിയംകുളം,Vaniyamkulam,Palakkad,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: Ward 14,DHS bulletin from Listed On Date,,
229,G090101,Anakkara,ആനക്കര,Anakkara,Palakkad,Panchayat,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 2, 13",DHS bulletin from Listed On Date,,
230,G090501,Alanallur,അലനല്ലൂര്‍,Alanallur,Palakkad,Panchayat,Active,2020-05-29,,2020-05-29,"Containment Zones: Wards 1, 15, 20",DHS bulletin from Listed On Date,,
231,G090503,Kottoppadam,കോട്ടോപ്പാടം,Kottoppadam,Palakkad,Panchayat,Active,2020-05-29,,2020-05-29,Containment Zones: Ward 4,DHS bulletin from Listed On Date,,
232,G010408,Manickal,മാണിക്കല്‍,Manickal,Thiruvananthapuram,Panchayat,Active,2020-05-30,,2020-05-30,Containment Zones: All Wards,DHS bulletin from Listed On Date,,
233,M090400,Palakkad,പാലക്കാട്,Palakkad,Palakkad,Municipality,Active,2020-05-30,,2020-05-30,"Containment Zones: Wards 6, 13, 20, 35",DHS bulletin from Listed On Date,,
234,G090508,Thachampara,തച്ചമ്പാറ,Thachampara,Palakkad,Panchayat,Active,2020-05-30,,2020-05-30,"Containment Zones: Wards 5,6",DHS bulletin from Listed On Date,,
235,M090500,Pattambi,പട്ടാമ്പി,Pattambi,Palakkad,Municipality,Active,2020-05-30,,2020-05-30,Containment Zones: Ward 6,DHS bulletin from Listed On Date,,
236,G050901,Madappally,മാടപ്പള്ളി,Madappally,Kottayam,Panchayat,Active,2020-05-30,,2020-05-30,Containment Zones: Ward 5,DHS bulletin from Listed On Date,,
237,G140305,Badiyadka,ബദിയഡുക്ക,Badiyadka,Kasaragod,Panchayat,Active,2020-05-31,,2020-05-31,"Containment Zones: Wards 2, 13",DHS bulletin from Listed On Date,,
238,G140603,Pilicode,പിലിക്കോട്,Pilicode,Kasaragod,Panchayat,Active,2020-05-31,,2020-05-31,Containment Zones: Ward 8,DHS bulletin from Listed On Date,,
239,G091104,Pallassana,പല്ലശ്ശന,Pallassana,Palakkad,Panchayat,Active,2020-05-31,,2020-05-31,Containment Zones: Ward 15,DHS bulletin from Listed On Date,,
240,G091004,Puthunagaram,പുതുനഗരം,Puthunagaram,Palakkad,Panchayat,Active,2020-05-31,,2020-05-31,Containment Zones: Ward 10,DHS bulletin from Listed On Date,,
241,M130500,Thalassery,തലശ്ശേരി,Thalassery,Kannur,Municipality,Active,2020-05-31,,2020-05-31,"Containment Zones: Wards 37, 47",DHS bulletin from Listed On Date,,
242,G020804,Panmana,പന്‍മന,Panmana,Kollam,Panchayat,Active,2020-05-31,,2020-05-31,"Containment Zones: Wards 10,11",DHS bulletin from Listed On Date,,
243,M020300,Punalur,പുനലൂര്‍,Punalur,Kollam,Municipality,Active,2020-05-31,,2020-05-31,Containment Zones: Ward 12,DHS bulletin from Listed On Date,,
244,G020501,Kulathupuzha,കുളത്തൂപ്പുഴ,Kulathupuzha,Kollam,Panchayat,Active,2020-05-31,,2020-05-31,No containment zone,DHS bulletin from Listed On Date,,
245,G020508,Aryankavu,ആര്യങ്കാവ്,Aryankavu,Kollam,Panchayat,Active,2020-05-31,,2020-05-31,No containment zone,DHS bulletin from Listed On Date,,
246,G020507,Thenmala,തെന്മല,Thenmala,Kollam,Panchayat,Active,2020-05-31,,2020-05-31,No containment zone,DHS bulletin from Listed On Date,,
247,G091301,Akathethara,അകത്തേത്തറ,Akathethara,Palakkad,Panchayat,Active,2020-06-01,,2020-06-01,"Containment Zones: Wards 2, 3",DHS bulletin from Listed On Date,,
248,G090106,Thirumittakkode,തിരുമിറ്റക്കോട്,Thirumittakkode,Palakkad,Panchayat,Active,2020-06-01,,2020-06-01,Containment Zones: Ward 8,DHS bulletin from Listed On Date,,
249,G091303,Marutha Road,മരുതറോഡ്,Marutha Road,Palakkad,Panchayat,Active,2020-06-01,,2020-06-01,Containment Zones: Ward 10,DHS bulletin from Listed On Date,,
250,G130308,Alacode,ആലക്കോട്,Alacode,Kannur,Panchayat,Active,2020-06-01,,2020-06-01,Containment Zones: Ward 5,DHS bulletin from Listed On Date,,
251,G131104,Muzhakkunnu,മുഴക്കുന്ന്,Muzhakkunnu,Kannur,Panchayat,Active,2020-06-01,,2020-06-01,Containment Zones: Ward 13,DHS bulletin from Listed On Date,,
252,G100601,Anakkayam,ആനക്കയം,Anakkayam,Malappuram,Panchayat,Active,2020-06-02,,2020-06-02,Containment Zones: Ward 21,DHS bulletin from Listed On Date,,
253,G021004,Adichanalloor,ആദിച്ചനല്ലൂര്‍,Adichanalloor,Kollam,Panchayat,Active,2020-06-03,,2020-06-03,"Containment Zones: Wards 15, 17",DHS bulletin from Listed On Date,,
254,G120404,Muttil,മുട്ടില്‍,Muttil,Wayanad,Panchayat,Active,2020-06-03,,2020-06-03,"Containment Zones: Wards 4,5,6",DHS bulletin from Listed On Date,,
255,C070100,Kochi,കൊച്ചി,Kochi,Ernakulam,Corporation,Active,2020-06-03,,2020-06-03,Containment Zones: Ward 60,DHS bulletin from Listed On Date,,
256,G140601,Cheruvathur,ചെറുവത്തൂര്‍,Cheruvathur,Kasaragod,Panchayat,Active,2020-06-03,,2020-06-03,Containment Zones: Ward 21,DHS bulletin from Listed On Date,,
257,G140606,Padanna,പടന്ന,Padanna,Kasaragod,Panchayat,Active,2020-06-03,,2020-06-03,Containment Zones: Ward 7,DHS bulletin from Listed On Date,,
258,G140505,East-Eleri,ഈസ്റ് എളേരി,East-Eleri,Kasaragod,Panchayat,Active,2020-06-03,,2020-06-03,Containment Zones: Ward 14,DHS bulletin from Listed On Date,,
259,M130800,Iritty,ഇരിട്ടി,Iritty,Kannur,Municipality,Active,2020-06-04,,2020-06-04,Containment Zones: Ward 9,DHS bulletin from Listed On Date,,
260,G131004,Thillankeri,തില്ലങ്കേരി,Thillankeri,Kannur,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: Ward 8,DHS bulletin from Listed On Date,,
261,M130900,Anthoor,ആന്തൂര്‍,Anthoor,Kannur,Municipality,Active,2020-06-04,,2020-06-04,"Containment Zones: Wards 2, 5",DHS bulletin from Listed On Date,,
262,M130600,Srekandapuram,ശ്രീകണ്ഠാപുരം,Srekandapuram,Kannur,Municipality,Active,2020-06-04,,2020-06-04,Containment Zones: Ward 17,DHS bulletin from Listed On Date,,
263,G020504,Anchal,അഞ്ചല്‍,Anchal,Kollam,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: All Wards,DHS bulletin from Listed On Date,,
264,G020502,Yeroor,ഏരൂര്‍,Yeroor,Kollam,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: All Wards,DHS bulletin from Listed On Date,,
265,G021102,Kadakkal,കടയ്ക്കല്‍,Kadakkal,Kollam,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: All Wards,DHS bulletin from Listed On Date,,
266,G090201,Koppam,കൊപ്പം,Koppam,Palakkad,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: Ward 6,DHS bulletin from Listed On Date,,
267,G090906,Elappally,എലപ്പുള്ളി,Elappally,Palakkad,Panchayat,Active,2020-06-04,,2020-06-04,Containment Zones: Ward 7,DHS bulletin from Listed On Date,,
